continent,total_cases
0,5201576.0
0,5225099.0
0,5248147.0
0,5281109.0
0,5314808.0
0,5350331.0
0,5384703.0
0,5412258.0
0,5437405.0
0,5465752.0
0,5504549.0
0,5547415.0
0,5590751.0
0,5633811.0
0,5665391.0
0,5694414.0
0,5730778.0
0,5775140.0
0,5822599.0
0,5869127.0
0,5914501.0
0,5949740.0
0,5984572.0
0,6022811.0
0,6066926.0
0,6115390.0
0,556.0
0,654.0
0,937.0
0,1428.0
0,2105.0
0,2912.0
0,5558.0
0,6143.0
0,8208.0
0,9889.0
0,11991.0
0,16738.0
0,19827.0
0,23836.0
0,27579.0
0,30737.0
0,34264.0
0,36989.0
0,40013.0
0,42551.0
0,44589.0
0,44966.0
0,60117.0
0,66599.0
0,68674.0
0,70787.0
0,72721.0
0,74515.0
0,74935.0
0,75480.0
0,76088.0
0,77807.0
0,78030.0
0,78517.0
0,79260.0
0,80059.0
0,81151.0
0,82230.0
0,83720.0
0,85317.0
0,86700.0
0,88568.0
0,89798.0
0,91084.0
0,93120.0
0,94876.0
0,96078.0
0,96986.0
0,98175.0
0,99896.0
0,101255.0
0,103076.0
0,104984.0
0,106927.0
0,108650.0
0,110644.0
0,112781.0
0,114921.0
0,117624.0
0,120181.0
0,123415.0
0,126490.0
0,130109.0
0,135521.0
0,141243.0
0,148354.0
0,155554.0
0,162794.0
0,170050.0
0,179033.0
0,187619.0
0,196759.0
0,205499.0
0,214482.0
0,224399.0
0,234394.0
0,243961.0
0,253866.0
0,264087.0
0,275214.0
0,287215.0
0,298845.0
0,310394.0
0,321865.0
0,333246.0
0,345618.0
0,358388.0
0,370509.0
0,382779.0
0,396772.0
0,410450.0
0,422646.0
0,435427.0
0,448444.0
0,460449.0
0,471956.0
0,483041.0
0,494950.0
0,507886.0
0,520964.0
0,534121.0
0,546198.0
0,558874.0
0,573131.0
0,588334.0
0,603756.0
0,619422.0
0,636231.0
0,651644.0
0,669599.0
0,686169.0
0,703191.0
0,720423.0
0,741038.0
0,758502.0
0,778436.0
0,799255.0
0,820076.0
0,842028.0
0,864611.0
0,888826.0
0,913020.0
0,937411.0
0,961314.0
0,983134.0
0,1003323.0
0,1027231.0
0,1053079.0
0,1081897.0
0,1109546.0
0,1138778.0
0,1166742.0
0,1197315.0
0,1230701.0
0,1263012.0
0,1295951.0
0,1330383.0
0,1364969.0
0,1396118.0
0,1430061.0
0,1466581.0
0,1504423.0
0,1537111.0
0,1576027.0
0,1620977.0
0,1658237.0
0,1696773.0
0,1737796.0
0,1778904.0
0,1821764.0
0,1863674.0
0,1903425.0
0,1943973.0
0,1986348.0
0,2030239.0
0,2074505.0
0,2120863.0
0,2167123.0
0,2214093.0
0,2258551.0
0,2305204.0
0,2371987.0
0,2422565.0
0,2473243.0
0,2527017.0
0,2583149.0
0,2633331.0
0,2683438.0
0,2737316.0
0,2795194.0
0,2851344.0
0,2906749.0
0,2961581.0
0,3018122.0
0,3073006.0
0,3133820.0
0,3194381.0
0,3258468.0
0,3332752.0
0,3401206.0
0,3462557.0
0,3528132.0
0,3599747.0
0,3679586.0
0,3754617.0
0,3828958.0
0,3901827.0
0,3971064.0
0,4049031.0
0,4126946.0
0,4208306.0
0,4296518.0
0,4373956.0
0,4455690.0
0,4530926.0
0,4610248.0
0,4696002.0
0,4786745.0
0,4877477.0
0,4968470.0
0,5055071.0
0,5136490.0
0,5222202.0
0,5317620.0
0,5410128.0
0,5504941.0
0,5596280.0
0,5680047.0
0,5757967.0
